Original Question,Rewritten Question
Phil Collins appeared in which Spielberg film with Robin Williams?'},{'question': 'Which Spielberg film did Phil Collins appear in alongside Robin Williams?
1998 was the Chinese year of which creature?'},{'question': 'Which creature was the focal point of the Chinese year in 1998?
Which country does musician Alfred Brendel come from?'},{'question': 'Where does the musician Alfred Brendel hail from?
Theodore Francis international airport is in which US state?'},Theodore Francis international airport is located in which US state?
In which soap did Demi Moore find fame?'},In which soap opera did Demi Moore gain fame?
To the nearest million, what is the population of London, England?'}","Can you tell me to the nearest million the population of London, England?"
What did Clarice Cliff create?'},What did Clarice Cliff produce?
Which James Bond film features a song by Louis Armstrong?'},{'question': 'What James Bond movie showcases a Louis Armstrong tune?
In what year were US ground troops first dispatched to Vietnam?'},When were US ground troops first deployed to Vietnam?
In 1999 Anna Kournikova signed a lucrative contract to model what?'},"In 1999, Anna Kournikova signed a lucrative contract to model clothing."
Which member of the Monkees came from Washington DC?'},What are the possible applications of the new technology in the medical field in terms of patient outcomes and satisfaction?
Which ship was sunk by a German submarine in 1915 with a loss of 1400 lives including 128 Americans?'},"Which naval vessel was attacked and destroyed by a German submarine in 1915, resulting in the loss of 1,400 lives, including 128 Americans?"
In what decade were video recorders first developed?'},{'question': 'When were video recorders first introduced?
Who had the noels Spy Hook and Spy Line published in the 80s?'},Who had the novels 'Spy Hook' and 'Spy Line' published in the 1980s?
the first credit cards were for use in what type of establishments?'},The first credit cards were designed for use in what types of establishments?
In which country was Ursula Andrews born?'},{'question': 'Where was Ursula Andrews born?
What was CBS TV news broadcaster Walter Cronkite's stock closing phrase?""}",What was Walter Cronkite's signature closing line on CBS TV news?
Who had a 70s No 1 hit with Let Your Love Flow?'},"{'question': 'What artist had a 1970s hit song titled ""Let Your Love Flow""?"
Which state renewed Mike Tyson's boxing license in 1998?""}",Which state granted Mike Tyson's boxing license renewal in 1998?
Neil Armstrong was a pilot in which war?'},{'question': 'Which conflict did Neil Armstrong serve as a pilot?
Which English-born US citizen hosted Masterpiece theater?'},Which British-born US citizen hosted Masterpiece theater?
Nickelodeon was founded in 1979 by which company?'},{'question': 'What motivated the company to implement the new policy was a desire to enhance customer satisfaction.'}
Which element along with polonium did the Curies discover?'},"{'question': 'Which element, in conjunction with polonium, did the Curies discover?"
In The Banana Splits what sort of animal was Snorky?'},"In the animated television show 'The Banana Splits,' what type of creature was Snorky?"
Who had an 80s No 1 hit with Can't Fight This Feeling?""}","Who had a No. 1 hit in the 80s with ""Can't Fight This Feeling""?"
Which parallel was the truce line in the Korean War?'},Which boundary did the ceasefire agreement in the Korean War designate as a parallel?
On a computer keyboard which letter is between A and D?'},"{'question': 'On a standard computer keyboard, which letter is located between A and D?"
Which musical featured the song Flash Bang, Wallop?'}","Which musical did the song Flash Bang, Wallop appear in?"
What was Hitchcock's first sound movie?""}",What was Hitchcock's first talking picture?
Which newspaper did Jackie Kennedy work for just before her marriage?'},{'question': 'What newspaper did Jackie Kennedy work for prior to her wedding?
{'question': 'What are the international registration letters of a vehicle from Turkey?'},How can you file a complaint with the consumer protection agency about a company?
{'question': 'Who wrote The Turn Of The Screw in the 19th century and The Ambassadors in the 20th?'},Who authored 'The Turn of the Screw' in the 19th century and 'The Ambassadors' in the 20th?
{'question': 'Which American nuclear submarine was the first to sail across the North Pole under the ice cap?'},Why did the man bring a step stool to the gathering?
"{'question': ""What was John Glenn/'s first spacecraft called?""}",What was John Glenn's first spacecraft named?
{'question': 'Which branch of medicine is concerned with disorders of the blood?'},{'question': 'What branch of medicine is focused on treating disorders related to blood?
{'question': 'Where was The Iron Triangle?'},{'question': 'Where was the location of the famous Iron Triangle?
{'question': 'What is the correct name of laughing gas?'},{'question': 'What is the appropriate name for laughing gas?
{'question': 'What is the distance between bases on a little league baseball field?'},{'question': 'What is the spacing between the bases in a youth baseball field?
{'question': 'How many home runs did baseball great Ty Cobb hit in the three world series in which he played?'},How many home runs did baseball legend Ty Cobb hit in the three World Series he played?
"{'question': 'In cross-country bike racing, what do the initials BMX represent?'}","{'question': 'In cross-country bike racing, what do the acronym BMX stand for?"
"{'question': 'After retiring as a player, with what team did baseball great Babe Ruth spend one year as a coach?'}",{'question': 'Which baseball team did Babe Ruth coach for one year after retiring as a player?
{'question': 'What is the maximum weight permitted for calves in rodeo calf-roping competition?'},{'question': 'What is the heaviest weight allowed for calves in rodeo calf-roping contests?
{'question': 'What baseball player hit the only home run of his 212-year major league career off his own brother?'},Who was the baseball player who hit the only home run of his 212-year major league career off his own brother?
{'question': 'Brooks Robinson and Carl Yastrzemski hold the major league baseball record for playing the greatest number of seasons with the same team. How many years did they play-- and with what teams?'},{'question': 'Brooks Robinson and Carl Yastrzemski hold the record for playing the most seasons with the same team in major league baseball. How many years did they play-- with which teams?
"{'question': 'Under the rules outlined in the charter of the International Olympic Committee, how much pure gold must there be in each gold medal awarded to first-place winners?'}",{'question': 'What significance does the 15% increase in the number of women on the list of the 500 most influential people in the world over the past five years have?
{'question': 'Who was the famous great-great-grandfather of San Francisco 49er quarterback Steve Young?'},Who was the renowned great-great-grandfather of San Francisco 49er quarterback Steve Young?
{'question': 'How many of the four Grand Slam trophies in tennis are gold; how many are silver?'},{'question': 'What percentage of the four Grand Slam trophies in tennis are gold; what percentage are silver?
"{'question': '""What breakfast food gets its name from the German word for """"stirrup""""?""'}","What breakfast food gets its name from the German word for ""stirrup""?"
{'question': 'What popular drink did a Dutch medical professor produce in his laboratory while trying to come up with a blood cleanser that could be sold in drugstores?'},What well-known beverage did a Dutch medical professor create in his laboratory while attempting to develop a blood purifier that could be sold in pharmacies?
{'question': 'On what vegetable did an ancient Egyptian place his right hand when taking an oath?'},What vegetable did an ancient Egyptian place his right hand on when taking an oath?
{'question': 'What American city produces most of the egg rolls sold in grocery stores in the United States?'},{'question': 'Which major American city is the leading producer of egg rolls sold in grocery stores across the United States?
{'question': 'Italy leads the world in pasta consumption with 61.7 pounds eaten per person per year. What country is second?'},"{'question': 'Which country ranks second in the world in pasta consumption, with 61.7 pounds consumed per person per year being led by Italy?"
"{'question': 'When Birdseye introduced the first frozen food in 1930, what did the company call it/'}","When Birdseye introduced the first frozen food in 1930, the company labeled it {'label': 'Birdseye Frozen Food'}"
{'question': 'Which 100-mile long waterway links the Mediterranean and the Red Sea?'},{'question': 'What 100-mile long waterway connects the Mediterranean and the Red Sea?
{'question': 'In which country is the Aswan Dam?'},{'question': 'Which country is home to the Aswan Dam?
{'question': 'Where did Idi Amin rule from 1971-1979?'},{'question': 'From which location did Idi Amin govern from 1971 to 1979?
{'question': 'Which country has the rand as its currency?'},Which nation has the rand as its official currency?
"{'question': ""What is the former name of the People's Republic of Venin?""}",What is the former name of the Republic of Venin?
{'question': 'In which country are Tangier and Casablanca?'},{'question': 'Which country is home to both Tangier and Casablanca?
{'question': 'Who was the Egyptian president who was assassinated in 1981?'},{'question': 'Which Egyptian leader was killed in 1981?
{'question': 'Which country was called Upper Volta until 1984?'},Which country was formerly known as Upper Volta until 1984?
{'question': 'Who was the Egyptian king whose tomb an treasures were discovered in the Valley of the Kings in 1922?'},Who was the ancient Egyptian pharaoh whose tomb and riches were unearthed in the Valley of the Kings in 1922?
{'question': 'Name the East African country which lies on the equator.'},{'question': 'What benefits are associated with using solar panels to produce electricity?
{'question': 'What are the two main arms of the River Nile called?'},What are the two primary branches of the River Nile known as?
{'question': 'In which country did King Hassan II ascend the throne in 1961?'},{'question': 'Which country did King Hassan II become king of in 1961?
{'question': 'Which British general was killed at Khartoum in 1885?'},Which British general was killed at Khartoum in 1885?
{'question': 'On the border of which two countries is Victoria Falls?'},On the border of which two nations is Victoria Falls located?
{'question': 'What is the name of the volcanic valley that runs from the Sinai peninsula to central Mozambique?'},{'question': 'What is the name of the geographic feature that stretches from the Sinai Peninsula to central Mozambique?
{'question': 'Which actor won an Academy Award for his performance in The African Queen?'},"{'question': 'The new policy will go into effect on January 1st'}

Please provide the original question you want me to rephrase."
"{'question': 'Who wrote the novel Cry, the Beloved Country about South Africa?'}","Who authored the novel Cry, the Beloved Country about South Africa?"
{'question': 'What is the capital of Kenya?'},How did the new employee feel on his first day of work?
{'question': 'From which European country did Angola achieve independence in 1975?'},{'question': 'Which European nation did Angola gain independence from in 1975?
{'question': 'Which country mainly makes up the Horn of Africa?'},{'question': 'Which nation primarily comprises the Horn of Africa?
{'question': 'What is the capital of Sierra Leone?'},The event was a resounding success.
{'question': 'Which country is the island of Zanzibar part of?'},{'question': 'What country is the island of Zanzibar located within?
"{'question': ""What is Africa's largest country?""}","{'question': ""Which African nation is the largest in terms of land area?"
"{'question': 'Which African country is bordered by Benin, Ghana, Ivory Coast, Niger, and Mali?'}","{'question': 'Can you name the African nation that shares a border with Benin, Ghana, Ivory Coast, Niger, and Mali?"
{'question': 'Who was the woman sentenced to six years in jail after the murder of Stompei Seipi?'},Why did the teacher award the student a poor grade?
{'question': 'In which country are the towns of Gweru and Kwekwe?'},{'question': 'Which country are the towns of Gweru and Kwekwe located in?
{'question': 'Who was the founder of the Back to Africa movement who largely inspired Rastafarianism?'},"{'question': 'Whose leadership was instrumental in establishing the Back to Africa movement, which played a significant role in shaping Rastafarianism?"
{'question': 'Which African country is sandwiched between Ghana and Benin?'},Which West African country is located between Ghana and Benin?
{'question': 'The Zambesi and which other river define the borders of Matabeleland?'},"{'question': 'Which river, along with the Zambesi, defines the borders of Matabeleland?"
{'question': 'In which mountains are Camp David?'},{'question': 'Where are Camp David located?
"{'question': '""Which song say, """"The words of the prophet are written on the subway walls?""""""'}","Which song lyric reads, ""The words of the prophet are written on the subway walls""?"
{'question': 'Who sang the title song for the Bond film A View To A Kill?'},{'question': 'Which artist sang the theme song for the James Bond movie A View To A Kill?
{'question': 'In which country did General Jaruzelski impose marital law in 1981?'},{'question': 'Which nation did General Jaruzelski impose martial law upon in 1981?
{'question': 'Who won the Oscar for directing It Happened One Night?'},{'question': 'Which filmmaker received the Academy Award for directing It Happened One Night?
{'question': 'Hellenikon international airport is in which country?'},{'question': 'Which country is home to Hellenikon international airport?
"{'question': ""Who had a 60s No 1 with Lightnin' Strikes?""}","Who had a 1960s number one hit with ""Lightning Strikes""?"
{'question': 'In which year was CNN founded?'},When was CNN founded?
"{'question': ""Who was President Reagan's Secretary for Defense from 1987 to 1989?""}","The student was able to quickly and easily solve the problem in a short amount of time.

##"
{'question': 'Which famous brother of Talia Shire does not share her last name?'},Which of Talia Shire's brothers does not bear the same surname as her?
{'question': 'In basketball where do the Celtics come from?'},In what city do the Celtics basketball team originate from?
{'question': 'Which Disney film had the theme tune A Whole New World?'},Which Disney movie had the theme song 'A Whole New World'?
"{'question': ""What does MG sand for in Booker T & The MG's?""}",What did MG stand for in Booker T & The MG's?
{'question': 'Florence Ballard was a member of which girl group?'},{'question': 'Which girl group was Florence Ballard a member of?
"{'question': 'Who was born first, Susan Sarandon or Glenn Close?'}",{'question': 'For what reason did the man bring a ladder to the party?
{'question': 'Who wrote the novel The Go Between?'},{'question': 'Whose novel The Go Between was written by?
{'question': 'In which musical do the sweeps sing Chim Chim Cheree?'},Which musical is it that the brooms sing 'Chim Chim Cheree' in?
"{'question': ""Who had a big 60s No 1 with Tossin' and Turnin'?""}","Who had a massive 1960s hit with ""Tossin' and Turnin'""?"
{'question': 'Sam Phillips was owner of which legendary recording studio?'},{'question': 'Which legendary recording studio was owned by Sam Phillips?
{'question': 'Which actor played Maxwell Smart?'},{'question': 'Who portrayed Maxwell Smart?
{'question': 'On a computer keyboard which letter on the same line is between C and B?'},Which letter on the same line as 'C' is also located between 'C' and 'B'?
"{'question': ""Lunar 10's Lunar Excursion Module was named after which famous character?""}","{'question': ""Which famous character is the Lunar 10's Lunar Excursion Module named after?"
{'question': 'In which decade did golfer Gary Player last win the British Open?'},"{'question': 'When did golfer Gary Player last win the British Open, according to the given decade?"
{'question': 'Sarah FitzGerald has been a 90s world champion in which sport?'},{'question': 'Which sport has Sarah FitzGerald been a 90s world champion in?
{'question': 'Where was the peace treaty signed that brought World War I to an end?'},{'question': 'Which location marked the end of World War I by signing a treaty?
{'question': 'Which Welsh singer was invited to sing at the White House on Millennium Eve?'},{'question': 'Who was the Welsh singer invited to perform at the White House on the eve of the millennium?
{'question': 'Which company was responsible for the oil spill in Alaska in 1989?'},{'question': 'Who was responsible for the oil spill in Alaska in 1989?
"{'question': ""What date is Father's Day?""}",When is Father's Day?
{'question': 'In which decade of the 20th century was the FBI set up?'},During which decade of the 20th century was the FBI established?
{'question': 'In which decade of the 20th century was Dan Aykroyd born?'},"{'question': 'When was Dan Aykroyd born, according to the 20th century?"
{'question': 'Which American wrote The Game of Chess in 1959?'},"Who authored The Game of Chess in 1959, an American writer?"
{'question': 'Which leader did Hitler meet in the Brenner Pass in WWII?'},{'question': 'Who did Hitler encounter in the Brenner Pass during WWII?
{'question': 'Which company first manufactured the electric toothbrush?'},Who was the first company to produce the electric toothbrush?
{'question': 'Who lived under the pseudonym of Harriet Brown in New York form the 40s to the 90s?'},Who used the pseudonym Harriet Brown in New York from the 1940s to the 1990s?
{'question': 'Which actor bought the island of Tetiaroa?'},{'question': 'Who acquired the island of Tetiaroa?
"{'question': 'Between 1952 and 1954 did the number of TV stations in the USA double, triple or quadruple?'}","Did the number of TV stations in the USA double, triple, or quadruple between 1952 and 1954?"
"{'question': ""What was Wham!'s first No 1?""}",What was Wham!'s initial chart-topping single?
"{'question': ""Which musical featured the song You'll Never Walk Alone?""}","Which musical featured the song ""You'll Never Walk Alone""?"
{'question': 'In which year was Bloody Sunday in Londonderry?'},{'question': 'When did the Bloody Sunday incident occur in Londonderry?
{'question': 'The first untethered space walk took place from which space craft?'},{'question': 'Which spacecraft did the first untethered spacewalk take place from?
{'question': 'What was the main color of a Storm trooper in Star Wars?'},What color was the primary uniform color of a Stormtrooper in the Star Wars franchise?
{'question': 'Richard Nixon was Vice President to which US state?'},{'question': 'Which US state did Richard Nixon serve as Vice President to?
{'question': 'Luxor international airport is in which country?'},{'question': 'Which country is Luxor international airport located in?
{'question': 'Which country did Albert Einstein move to as the Nazis rose to power?'},Which country did Albert Einstein relocate to as the Nazi party gained power?
{'question': 'In the 90s how many points have been awarded for finishing first in a Grand Prix?'},"In the 1990s, how many points were awarded for finishing first in a Grand Prix?"
{'question': 'Which lawyer made Raymond Burr famous?'},{'question': 'Who credit for Raymond Burr's fame?
{'question': 'Which broadcasting company did Edward J Noble found?'},Why did the company have to discontinue its operations?
{'question': 'In which decade did the Jackson 5 sign to Motown?'},{'question': 'When did the Jackson 5 join Motown?
{'question': 'How many vice presidents did Franklin D Roosevelt have?'},How many deputies did Franklin D Roosevelt have?
"{'question': ""In which state is Harrah's Auto Collection situated?""}",In what state is Harrah's Auto Collection located?
"{'question': ""What was the name of Gene Autry's horse?""}",What was the name of Gene Autry's famous horse?
{'question': 'Which city has a sports team of Steelers and team of Pirates?'},Which metropolis has a squad of Steelers and a team of Pirates?
"{'question': 'What did Fort Dearborn, Indian Territory change its name to?'}","{'question': 'What did Fort Dearborn, which was located in Indian Territory, change its name to?"
{'question': 'Bill Berry retired through ill health as a drummer in which band?'},{'question': 'Which band did Bill Berry retire from due to ill health?
Leslie Nielsen trained in which of the armed services in WWII?'},{'question': 'Which military branch did Leslie Nielsen train in during WWII?
